Datetime,Latitude,Longitude,Pressure,Depth,Temperature,Salinity
1982-07-24 08:33:00,80.0,6.217,0.0,0.0,3.812,33.765
1982-07-24 08:33:00,80.0,6.217,10.0,9.89,4.056,33.919
1982-07-24 08:33:00,80.0,6.217,20.0,19.79,3.915,34.534
1982-07-24 08:33:00,80.0,6.217,30.0,29.68,4.069,34.912
1982-07-24 08:33:00,80.0,6.217,50.01,49.47,4.205,34.999
1982-07-24 08:33:00,80.0,6.217,75.0,74.19,4.339,35.043
1982-07-24 08:33:00,80.0,6.217,100.0,98.92,4.069,35.032
1982-07-24 08:33:00,80.0,6.217,125.0,123.64,3.991,35.044
1982-07-24 08:33:00,80.0,6.217,150.0,148.36,3.945,35.057
1982-07-24 08:33:00,80.0,6.217,200.0,197.79,3.509,35.033
1982-07-24 08:33:00,80.0,6.217,250.0,247.21,3.096,35.01
1982-07-24 08:33:00,80.0,6.217,300.0,296.61,2.922,35.013
1982-07-24 08:33:00,80.0,6.217,400.0,395.39,2.506,35.001
1982-07-24 08:33:00,80.0,6.217,500.0,494.11,1.997,34.974
1982-07-24 08:33:00,80.0,6.217,600.0,592.79,1.836,34.979
1982-07-24 08:33:00,80.0,6.217,700.0,691.43,1.222,34.945
1982-07-24 19:17:00,79.967,3.45,0.0,0.0,1.153,32.655
1982-07-24 19:17:00,79.967,3.45,2.0,1.98,1.153,32.655
1982-07-24 19:17:00,79.967,3.45,4.0,3.96,1.217,32.963
1982-07-24 19:17:00,79.967,3.45,9.0,8.9,0.994,33.43
1982-07-24 19:17:00,79.967,3.45,14.0,13.85,0.925,33.777
1982-07-24 19:17:00,79.967,3.45,19.0,18.8,0.854,34.02
1982-07-24 19:17:00,79.967,3.45,24.0,23.74,0.849,34.204
1982-07-24 19:17:00,79.967,3.45,29.0,28.69,0.946,34.353
1982-07-24 19:17:00,79.967,3.45,34.0,33.64,1.176,34.483
1982-07-24 19:17:00,79.967,3.45,39.0,38.58,1.565,34.604
1982-07-24 19:17:00,79.967,3.45,44.0,43.53,2.16,34.725
1982-07-24 19:17:00,79.967,3.45,49.0,48.48,2.843,34.844
1982-07-24 19:17:00,79.967,3.45,54.0,53.42,3.327,34.931
1982-07-24 19:17:00,79.967,3.45,59.0,58.37,3.562,34.978
1982-07-24 19:17:00,79.967,3.45,64.0,63.31,3.654,34.998
1982-07-24 19:17:00,79.967,3.45,69.0,68.26,3.656,35.0
1982-07-24 19:17:00,79.967,3.45,74.0,73.2,3.592,34.993
1982-07-24 19:17:00,79.967,3.45,79.0,78.15,3.474,34.979
1982-07-24 19:17:00,79.967,3.45,84.0,83.09,3.314,34.961
1982-07-24 19:17:00,79.967,3.45,89.0,88.04,3.12,34.944
1982-07-24 19:17:00,79.967,3.45,94.0,92.98,2.911,34.929
