Station,Latitude,Longitude,Datetime
PS122/1_2-68,85.127667,132.517706,2019-10-04T08:57:00
PS122/1_6-58,85.911852,116.281372,2019-11-08T01:52:00
PS122/1_6-79,85.861866,115.769827,2019-11-09T01:36:00
PS122/1_6-81,85.846692,115.785913,2019-11-09T07:29:00
PS122/1_7-47,86.153053,118.109705,2019-11-14T01:49:00
PS122/1_7-49,86.161549,118.188328,2019-11-14T05:12:00
PS122/1_7-80,86.189931,118.360629,2019-11-15T04:54:00
PS122/1_8-43,85.745112,120.986747,2019-11-21T03:13:00
PS122/1_8-46,85.743112,120.945947,2019-11-21T06:50:00
PS122/1_8-71,85.735707,120.812365,2019-11-22T03:14:00
PS122/1_8-98,85.738184,120.435786,2019-11-23T09:43:00
PS122/1_9-50,86.160395,116.754612,2019-11-28T09:58:00
PS122/1_9-61,86.121706,115.011237,2019-11-29T04:15:00
PS122/1_9-67,86.111329,114.437333,2019-11-29T09:43:00
PS122/1_9-87,86.044462,112.879505,2019-11-30T10:51:00
PS122/1_10-41,86.139253,120.527097,2019-12-05T05:22:00
PS122/1_10-44,86.14229,121.007309,2019-12-05T10:18:00
PS122/1_10-60,86.140556,122.196701,2019-12-06T05:05:00
PS122/1_10-64,86.138776,122.293501,2019-12-06T10:36:00
PS122/2_16-21,86.67855,112.97002,2019-12-19T11:04:00
PS122/2_16-34,86.679585,112.601474,2019-12-20T10:01:00
PS122/2_17-39,86.647225,115.700331,2019-12-26T06:37:00
PS122/2_17-41,86.652857,115.866896,2019-12-26T11:11:00
PS122/2_17-64,86.676156,115.995438,2019-12-27T06:26:00
PS122/2_17-68,86.678135,115.963599,2019-12-27T10:12:00
PS122/2_18-32,86.800093,116.92355,2020-01-02T06:52:00
PS122/2_18-34,86.820897,116.64886,2020-01-02T10:58:00
PS122/2_18-57,86.897446,115.741684,2020-01-03T06:06:00
PS122/2_18-74,86.99854,115.429731,2020-01-04T09:37:00
PS122/2_19-55,87.135564,114.571796,2020-01-09T06:03:00
PS122/2_19-56,87.140701,114.390989,2020-01-09T09:19:00
PS122/2_19-76,87.167318,113.136905,2020-01-10T06:01:00
PS122/2_19-77,87.170579,112.989878,2020-01-10T08:06:00
PS122/2_20-45,87.553067,102.046776,2020-01-16T06:14:00
PS122/2_20-46,87.559744,101.750232,2020-01-16T09:29:00
PS122/2_20-71,87.534443,99.673394,2020-01-17T05:55:00
PS122/2_20-73,87.520014,99.484523,2020-01-17T08:23:00
PS122/2_21-64,87.448938,94.153699,2020-01-23T06:14:00
PS122/2_21-65,87.443694,94.014052,2020-01-23T09:56:00
PS122/2_22-42,87.478275,96.232902,2020-01-30T06:10:00
PS122/2_22-47,87.466496,96.474307,2020-01-30T09:38:00
PS122/2_22-63,87.447378,96.429274,2020-01-31T08:53:00
PS122/2_23-46,87.596372,94.07357,2020-02-06T06:10:00
PS122/2_23-47,87.606753,94.005762,2020-02-06T10:00:00
PS122/2_23-63,87.637999,93.75832,2020-02-07T08:02:00
PS122/2_24-2,87.776179,92.057825,2020-02-10T05:46:00
PS122/2_24-4,87.780412,91.952214,2020-02-10T07:48:00
PS122/2_25-52,88.362552,69.535385,2020-02-20T06:13:00
PS122/2_25-54,88.380116,68.916015,2020-02-20T10:05:00
PS122/2_25-71,88.475974,67.004768,2020-02-21T05:53:00
PS122/2_25-73,88.484676,66.81207,2020-02-21T07:50:00
PS122/3_30-53,88.100391,29.428494,2020-03-06T12:46:00
PS122/3_30-64,88.076842,27.260189,2020-03-07T06:48:00
PS122/3_31-39,87.561904,22.041772,2020-03-12T07:29:00
PS122/3_31-59,87.143902,17.341387,2020-03-14T08:28:00
PS122/3_31-63,87.131065,17.118574,2020-03-14T13:00:00
PS122/3_40-36,83.390648,9.109651,2020-05-16T14:09:00
PS122/3_42-32,81.942552,9.404711,2020-05-30T09:39:00
PS122/4_44-67,82.222514,8.29665,2020-06-16T07:40:48
PS122/4_44-76,82.186667,8.306836,2020-06-16T12:59:49
PS122/4_44-183,81.963601,9.91179,2020-06-27T09:04:12
PS122/4_44-184,81.955387,9.903159,2020-06-27T10:36:00
PS122/4_44-187,81.928524,9.817832,2020-06-27T14:57:41
PS122/4_44-202,81.877502,9.485266,2020-06-28T11:38:54
PS122/4_45-3,81.828079,9.18026,2020-06-29T08:07:42
PS122/4_45-9,81.797996,8.979909,2020-06-30T08:14:10
PS122/4_45-31,81.76998,8.89,2020-07-01T07:01:25
PS122/4_45-48,81.763975,8.860017,2020-07-01T13:37:40
PS122/4_45-53,81.745139,8.60705,2020-07-02T07:13:53
PS122/4_45-72,81.671538,7.607658,2020-07-03T10:37:58
PS122/4_45-73,81.671238,7.558444,2020-07-03T11:20:06
PS122/4_45-74,81.671725,7.511062,2020-07-03T12:04:09
PS122/4_45-75,81.6728,7.468495,2020-07-03T12:46:49
PS122/4_45-76,81.678252,7.350809,2020-07-03T15:10:38
PS122/4_45-77,81.678831,7.323388,2020-07-03T15:50:49
PS122/4_45-78,81.679377,7.291966,2020-07-03T16:34:17
PS122/4_45-79,81.68008,7.255619,2020-07-03T17:21:00
PS122/4_45-80,81.68367,7.132615,2020-07-03T20:07:58
PS122/4_45-81,81.685517,7.103274,2020-07-03T20:51:24
PS122/4_45-82,81.687934,7.072882,2020-07-03T21:35:21
PS122/4_45-83,81.699716,6.99965,2020-07-04T00:00:31
PS122/4_45-84,81.703371,6.989302,2020-07-04T00:41:00
PS122/4_45-85,81.706978,6.982032,2020-07-04T01:27:13
PS122/4_45-88,81.712244,6.971252,2020-07-04T03:40:17
PS122/4_45-94,81.712611,6.967603,2020-07-04T04:18:48
PS122/4_45-95,81.712349,6.959045,2020-07-04T05:10:10
PS122/4_45-96,81.711407,6.947448,2020-07-04T05:51:11
PS122/4_45-97,81.706615,6.86845,2020-07-04T08:15:49
PS122/4_45-98,81.70587,6.840392,2020-07-04T08:52:47
PS122/4_45-99,81.70554,6.812495,2020-07-04T09:27:34
PS122/4_45-100,81.705638,6.778014,2020-07-04T10:09:25
PS122/4_45-101,81.709815,6.691594,2020-07-04T12:31:40
